Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Huber Regressor,137.8989,60710.2513,195.8295,0.9573,0.0567,0.0451,0.003
Bayesian Ridge,165.0446,66639.1362,206.6868,0.957,0.2498,0.0692,0.003
Elastic Net,164.6814,66606.0933,206.3542,0.9569,0.2303,0.0672,0.003
Lasso Least Angle Regression,164.6814,66606.0941,206.3542,0.9569,0.2303,0.0672,0.003
Least Angle Regression,164.6813,66606.0913,206.3541,0.9569,0.2303,0.0672,0.003
Orthogonal Matching Pursuit,164.6813,66606.0913,206.3541,0.9569,0.2303,0.0672,0.003
Ridge Regression,164.6813,66606.0913,206.3541,0.9569,0.2303,0.0672,0.003
Lasso Regression,164.6814,66606.0941,206.3542,0.9569,0.2303,0.0672,0.003
Linear Regression,164.6813,66606.0913,206.3541,0.9569,0.2303,0.0672,0.211
Passive Aggressive Regressor,184.4103,88953.8257,245.0446,0.9485,0.0757,0.0666,0.003
Extra Trees Regressor,241.7902,110256.7749,292.1757,0.9254,0.0837,0.0788,0.014
K Neighbors Regressor,343.69,211342.054,409.03,0.8717,0.9056,0.2961,0.007
Random Forest Regressor,307.9673,165288.8771,362.1004,0.8568,0.7259,0.1854,0.016
AdaBoost Regressor,319.3169,175837.9703,365.8863,0.8235,1.1041,0.2028,0.007
Gradient Boosting Regressor,343.8647,193282.3179,398.1473,0.7799,0.6007,0.212,0.006
Decision Tree Regressor,347.3417,195774.7458,402.8893,0.7744,0.5738,0.215,0.003
Light Gradient Boosting Machine,1492.604,3278495.6497,1693.4739,-0.9012,1.6223,2.2686,0.004
Dummy Regressor,1492.604,3278495.6497,1693.4739,-0.9012,1.6223,2.2686,0.003
