Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Bayesian Ridge,2614.8079,10103949.2268,2978.6386,-2.564,0.2288,0.2204,0.003
Elastic Net,2600.0295,10040526.6862,2913.5644,-2.6337,0.2242,0.2213,0.003
Dummy Regressor,2705.5901,10746270.8277,3033.6186,-2.6423,0.2325,0.2299,0.003
Light Gradient Boosting Machine,2705.5901,10746270.8277,3033.6186,-2.6423,0.2325,0.2299,0.005
Huber Regressor,2520.5296,9180397.8872,2816.2597,-2.6695,0.2157,0.2154,0.003
Ridge Regression,2497.0843,9086310.8012,2789.761,-2.9139,0.2135,0.2103,0.003
Lasso Regression,2550.5889,9159493.957,2830.2163,-3.2037,0.2153,0.2127,0.003
Lasso Least Angle Regression,2550.5888,9159493.3855,2830.2162,-3.2037,0.2153,0.2127,0.003
Linear Regression,2551.8391,9161031.3514,2830.7146,-3.2061,0.2153,0.2128,0.212
Least Angle Regression,2551.8391,9161031.4022,2830.7147,-3.2061,0.2153,0.2128,0.003
Orthogonal Matching Pursuit,2551.8391,9161031.4022,2830.7147,-3.2061,0.2153,0.2128,0.002
Passive Aggressive Regressor,3313.3818,15659524.3306,3746.3911,-3.8416,0.2832,0.2772,0.003
K Neighbors Regressor,2445.3933,8915650.8973,2775.4999,-4.9511,0.2202,0.2072,0.006
Random Forest Regressor,2918.5481,13411778.2587,3313.1856,-10.2031,0.2643,0.2438,0.017
Extra Trees Regressor,2986.8353,14193190.9226,3417.7928,-10.3896,0.2735,0.2531,0.013
Gradient Boosting Regressor,2990.5962,16434055.3551,3578.8179,-13.3236,0.2907,0.2523,0.006
AdaBoost Regressor,2911.9175,14280493.4962,3395.4872,-13.6279,0.2794,0.2445,0.006
Decision Tree Regressor,3023.85,16842602.7167,3625.595,-13.7167,0.2948,0.2543,0.003
