Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Ridge Regression,356.3442,197661.201,397.419,0.7233,0.0644,0.0569,0.003
Elastic Net,348.5945,193537.3777,392.9446,0.7215,0.0628,0.0551,0.003
Orthogonal Matching Pursuit,350.0546,197492.7075,396.9248,0.7144,0.0632,0.0551,0.003
Bayesian Ridge,353.2526,198120.8686,399.3838,0.713,0.0636,0.0557,0.003
Lasso Regression,382.2748,237988.3353,429.7665,0.7007,0.0704,0.0614,0.003
Lasso Least Angle Regression,382.2748,237988.0805,429.7664,0.7007,0.0704,0.0614,0.003
Linear Regression,387.1011,244678.2286,435.7796,0.6957,0.0715,0.0622,0.248
Least Angle Regression,387.1011,244678.2286,435.7796,0.6957,0.0715,0.0622,0.003
Huber Regressor,346.9376,238388.1826,427.1291,0.6931,0.0747,0.0585,0.003
Extra Trees Regressor,434.7727,280073.9526,488.1749,0.6124,0.0743,0.0672,0.014
Random Forest Regressor,431.3018,300003.1953,499.7579,0.5785,0.075,0.0657,0.018
K Neighbors Regressor,512.96,360831.2107,569.527,0.546,0.0898,0.0816,0.005
AdaBoost Regressor,525.0047,390114.5182,586.3328,0.438,0.0884,0.0802,0.008
Gradient Boosting Regressor,564.0658,435512.9893,624.9266,0.3489,0.0938,0.086,0.005
Decision Tree Regressor,610.7833,567650.05,699.1293,0.1239,0.1,0.0884,0.003
Passive Aggressive Regressor,686.9097,601109.9023,745.5363,0.0324,0.1085,0.1057,0.003
Light Gradient Boosting Machine,1001.9461,1477853.664,1146.5352,-0.7379,0.1805,0.1631,0.004
Dummy Regressor,1001.9461,1477853.664,1146.5352,-0.7379,0.1805,0.1631,0.003
