Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
AdaBoost Regressor,1495.1925,3624732.7567,1738.6105,-28.8416,0.4706,0.5768,0.006
K Neighbors Regressor,1558.0667,3766254.9227,1821.3018,-29.4226,0.5011,0.5692,0.006
Random Forest Regressor,1498.1563,3253728.968,1733.016,-32.8084,0.4571,0.5232,0.017
Lasso Regression,1654.2088,3909086.056,1852.7107,-33.1734,0.5248,0.6554,0.003
Lasso Least Angle Regression,1654.2087,3909085.8064,1852.7106,-33.1734,0.5248,0.6554,0.003
Linear Regression,1654.5496,3910248.8828,1853.2648,-33.1796,0.5253,0.6554,0.289
Least Angle Regression,1654.5495,3910248.9458,1853.2648,-33.1796,0.5253,0.6554,0.003
Orthogonal Matching Pursuit,1654.5496,3910248.9746,1853.2648,-33.1796,0.5253,0.6554,0.003
Ridge Regression,1616.0031,3806155.9057,1811.9327,-33.3579,0.4953,0.6513,0.003
Gradient Boosting Regressor,1682.4383,3868172.4809,1872.3009,-36.3282,0.4823,0.5472,0.007
Decision Tree Regressor,1700.4,3937123.6,1890.3026,-36.4944,0.4877,0.5479,0.002
Elastic Net,1643.3379,3967210.367,1838.7114,-38.6228,0.4888,0.6643,0.003
Huber Regressor,1614.6717,4008880.4651,1809.3062,-38.9179,0.4961,0.6896,0.004
Passive Aggressive Regressor,1518.09,3790020.7486,1709.9263,-39.5494,0.4635,0.6726,0.003
Bayesian Ridge,1745.1751,4179179.0992,1925.0963,-39.7464,0.5215,0.6836,0.003
Light Gradient Boosting Machine,1681.8746,4124751.4523,1881.4202,-42.0401,0.4972,0.6756,0.006
Dummy Regressor,1681.8746,4124751.4523,1881.4202,-42.0401,0.4972,0.6756,0.003
Extra Trees Regressor,1645.546,3843818.6916,1886.5927,-45.582,0.4892,0.5754,0.014
