Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Bayesian Ridge,1738.4353,5432226.8091,1940.9472,-1.174,0.1407,0.1321,0.003
Light Gradient Boosting Machine,1738.4353,5432227.0096,1940.9472,-1.174,0.1407,0.1321,0.005
Dummy Regressor,1738.4353,5432227.0096,1940.9472,-1.174,0.1407,0.1321,0.003
Elastic Net,1737.8701,5422033.746,1940.347,-1.1847,0.1406,0.132,0.003
Ridge Regression,1733.0682,5361339.8806,1936.7778,-1.2872,0.1403,0.1317,0.003
K Neighbors Regressor,1896.4933,6379218.6773,2128.9183,-1.5498,0.1539,0.145,0.005
Huber Regressor,1729.777,5246129.0393,1945.0871,-1.6735,0.1408,0.1317,0.002
Lasso Regression,1714.4506,5450681.469,1957.1658,-1.887,0.1414,0.1306,0.003
Lasso Least Angle Regression,1714.4506,5450681.4742,1957.1657,-1.887,0.1414,0.1306,0.003
Linear Regression,1712.9256,5448488.1085,1956.4418,-1.8977,0.1414,0.1305,0.243
Least Angle Regression,1712.9255,5448488.1689,1956.4417,-1.8977,0.1414,0.1305,0.003
Orthogonal Matching Pursuit,1712.9255,5448488.1689,1956.4417,-1.8977,0.1414,0.1305,0.003
Passive Aggressive Regressor,1572.5634,4835091.3875,1826.7157,-2.0401,0.1319,0.1178,0.003
Random Forest Regressor,2135.2515,8227988.6465,2466.1753,-4.8874,0.1814,0.1601,0.017
AdaBoost Regressor,2013.7789,7982319.8673,2509.6979,-7.9906,0.1908,0.1496,0.003
Extra Trees Regressor,2072.4951,8437328.3202,2424.043,-8.0014,0.1813,0.1541,0.014
Gradient Boosting Regressor,2310.2877,9818444.6418,2704.6334,-9.4369,0.2032,0.1691,0.006
Decision Tree Regressor,2329.4,9981231.7333,2723.7445,-9.8638,0.2049,0.1704,0.003
