Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Bayesian Ridge,1737.2147,5400703.3496,1937.4016,-1.1723,0.1403,0.1316,0.003
Light Gradient Boosting Machine,1738.4353,5432227.0096,1940.9472,-1.174,0.1407,0.1321,0.005
Dummy Regressor,1738.4353,5432227.0096,1940.9472,-1.174,0.1407,0.1321,0.003
Elastic Net,1729.1295,5307442.5129,1924.5406,-1.2635,0.1395,0.1314,0.003
Random Forest Regressor,1606.308,5056913.6108,1906.4828,-1.2837,0.1376,0.1221,0.017
Ridge Regression,1724.5782,5278274.621,1941.39,-2.2068,0.1416,0.131,0.003
Passive Aggressive Regressor,1736.4885,5523554.8005,2000.8981,-2.333,0.1441,0.1284,0.003
K Neighbors Regressor,1751.5467,5161238.08,2000.966,-2.3761,0.1446,0.1326,0.005
AdaBoost Regressor,1948.9567,5966411.7321,2236.4637,-2.5969,0.1604,0.1439,0.007
Huber Regressor,1746.8931,5280239.0699,1982.3408,-2.6329,0.1445,0.1327,0.003
Extra Trees Regressor,1764.8727,5503128.424,2115.3032,-2.7702,0.1544,0.1328,0.013
Decision Tree Regressor,1795.9333,5116199.2,2063.4387,-3.0536,0.1505,0.1335,0.003
Orthogonal Matching Pursuit,1740.7965,5482509.5778,1974.8995,-3.1643,0.1457,0.132,0.003
Lasso Regression,1756.1563,5669466.607,2018.096,-3.3466,0.1479,0.1338,0.003
Lasso Least Angle Regression,1756.1561,5669464.7773,2018.0956,-3.3466,0.1479,0.1338,0.003
Linear Regression,1755.1422,5667681.3249,2017.2587,-3.3612,0.1478,0.1338,0.207
Least Angle Regression,1755.1425,5667682.7059,2017.259,-3.3612,0.1478,0.1338,0.003
Gradient Boosting Regressor,1955.9802,6058284.7585,2222.2307,-3.4007,0.1587,0.144,0.005
