Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Bayesian Ridge,1001.9462,1477853.7296,1146.5352,-0.7379,0.1805,0.1631,0.003
Light Gradient Boosting Machine,1001.9461,1477853.664,1146.5352,-0.7379,0.1805,0.1631,0.004
Dummy Regressor,1001.9461,1477853.664,1146.5352,-0.7379,0.1805,0.1631,0.003
Elastic Net,1002.1691,1479705.41,1147.274,-0.7413,0.1806,0.1632,0.003
Ridge Regression,1004.2861,1495134.1853,1153.5891,-0.7709,0.1815,0.1639,0.003
Lasso Regression,1022.0383,1576582.1159,1187.8226,-0.9293,0.1866,0.1677,0.002
Lasso Least Angle Regression,1022.0383,1576582.1289,1187.8226,-0.9293,0.1866,0.1677,0.003
Linear Regression,1021.3779,1574966.938,1187.7263,-0.9343,0.1866,0.1676,0.248
Least Angle Regression,1021.3778,1574966.8279,1187.7262,-0.9343,0.1866,0.1676,0.003
Orthogonal Matching Pursuit,1021.3778,1574966.7791,1187.7262,-0.9343,0.1866,0.1676,0.003
K Neighbors Regressor,1081.6267,1788004.252,1226.9295,-0.9465,0.1929,0.1763,0.005
Huber Regressor,1012.6257,1559903.0,1184.1139,-1.0213,0.1862,0.1679,0.003
Passive Aggressive Regressor,970.3429,1439308.054,1132.9065,-1.0749,0.1787,0.1632,0.003
Random Forest Regressor,1107.3053,1940643.1605,1223.3093,-1.111,0.1879,0.1761,0.018
AdaBoost Regressor,1062.6624,1933684.442,1202.2952,-1.4626,0.1894,0.1628,0.005
Extra Trees Regressor,1214.0182,2460075.7812,1351.016,-1.6782,0.2075,0.1935,0.013
Gradient Boosting Regressor,1260.7373,2615485.0273,1392.4257,-1.8613,0.2143,0.1974,0.006
Decision Tree Regressor,1273.9,2672912.9,1404.0373,-1.9287,0.2163,0.1997,0.003
