Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Extra Trees Regressor,1041.642,1630038.9196,1153.4081,-0.6144,0.1781,0.1691,0.016
Elastic Net,998.458,1450946.8511,1137.79,-0.6837,0.1792,0.1629,0.003
Ridge Regression,996.043,1454728.9941,1144.4428,-0.7039,0.1814,0.1636,0.003
Dummy Regressor,1001.9461,1477853.664,1146.5352,-0.7379,0.1805,0.1631,0.003
Light Gradient Boosting Machine,1001.9461,1477853.664,1146.5352,-0.7379,0.1805,0.1631,0.005
Orthogonal Matching Pursuit,995.0851,1477598.452,1152.5818,-0.7563,0.1846,0.1635,0.003
K Neighbors Regressor,1049.5867,1561677.8093,1183.2697,-0.773,0.1869,0.1715,0.005
Random Forest Regressor,1081.8903,1604676.0972,1167.6853,-0.8011,0.1824,0.173,0.017
Bayesian Ridge,1043.878,1567364.0276,1183.3301,-0.824,0.187,0.17,0.003
Lasso Regression,1015.6053,1563700.0291,1189.0007,-0.9245,0.1896,0.1679,0.002
Lasso Least Angle Regression,1015.6053,1563700.0092,1189.0007,-0.9245,0.1896,0.1679,0.004
Linear Regression,1016.7321,1567323.9611,1190.5074,-0.9346,0.1899,0.1681,0.231
Least Angle Regression,1016.7322,1567324.1138,1190.5074,-0.9346,0.1899,0.1681,0.003
Decision Tree Regressor,1147.0833,2203127.3833,1298.9081,-1.0765,0.2014,0.1846,0.003
Gradient Boosting Regressor,1072.7598,1672116.5382,1187.3077,-1.106,0.1845,0.1713,0.008
AdaBoost Regressor,1109.2106,1670749.0595,1223.3527,-1.1457,0.1924,0.1806,0.007
Huber Regressor,1009.5334,1599909.1909,1200.1632,-1.1573,0.1911,0.1705,0.003
Passive Aggressive Regressor,981.3816,1520809.3361,1161.654,-1.1969,0.1829,0.1668,0.002
