Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Ridge Regression,1035.9775,1435001.8998,1137.3837,-1.2723,1.2521,2.3114,0.003
Elastic Net,1039.2088,1401816.3924,1124.1748,-1.291,1.2443,2.2826,0.003
Orthogonal Matching Pursuit,1038.3317,1487198.3809,1148.9524,-1.2981,1.2538,2.3393,0.003
Dummy Regressor,1039.7061,1402347.6619,1124.1863,-1.3274,1.2425,2.2699,0.003
Light Gradient Boosting Machine,1039.7061,1402347.6619,1124.1863,-1.3274,1.2425,2.2699,0.005
Bayesian Ridge,1061.0446,1485935.051,1159.4643,-1.4152,1.2618,2.3252,0.003
Lasso Regression,1085.0809,1534804.5147,1183.4336,-1.6001,1.3154,2.345,0.003
Lasso Least Angle Regression,1085.0813,1534804.9269,1183.4338,-1.6001,1.3154,2.345,0.003
Linear Regression,1086.8339,1536508.8302,1183.8863,-1.6124,1.3188,2.3448,0.228
Least Angle Regression,1086.8338,1536508.6761,1183.8862,-1.6124,1.3188,2.3448,0.003
Huber Regressor,1075.6279,1523542.4434,1184.4573,-1.6553,1.3014,2.3108,0.003
K Neighbors Regressor,1060.04,1582376.24,1196.8397,-2.1174,1.3014,2.6253,0.005
Passive Aggressive Regressor,1159.2357,1722886.223,1256.5379,-2.249,1.3214,2.5519,0.003
Random Forest Regressor,1120.5962,1716265.3287,1242.3364,-3.7513,1.4149,2.5593,0.017
Extra Trees Regressor,1197.7287,1936021.0448,1335.3727,-3.9524,1.4468,2.5788,0.013
AdaBoost Regressor,1201.7515,1863388.4196,1309.4032,-4.5825,1.478,2.7479,0.006
Gradient Boosting Regressor,1122.3879,1884788.7713,1265.7951,-5.1175,1.6882,2.2375,0.006
Decision Tree Regressor,1351.3833,2408799.8833,1499.8791,-6.2872,2.1063,2.5892,0.003
