Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
K Neighbors Regressor,774.0133,2062004.4693,967.1287,0.3445,0.1692,0.1427,0.005
Random Forest Regressor,753.862,1755496.5827,919.1057,-0.4624,0.1576,0.1356,0.017
Extra Trees Regressor,615.8887,1273412.3814,793.429,-0.9072,0.1381,0.113,0.013
Bayesian Ridge,629.492,930583.6182,773.6499,-1.0886,0.2319,0.1446,0.003
Orthogonal Matching Pursuit,630.433,925267.963,772.2285,-1.0894,0.2346,0.1449,0.003
Elastic Net,628.5668,922350.2704,770.3856,-1.095,0.2337,0.1444,0.003
Ridge Regression,619.5015,901106.6596,759.788,-1.1413,0.2274,0.1413,0.003
Huber Regressor,553.1148,676817.874,681.069,-1.2828,0.181,0.1308,0.003
Lasso Regression,635.3987,867927.8133,771.7119,-1.3095,0.2201,0.1425,0.002
Lasso Least Angle Regression,635.3987,867927.8143,771.7119,-1.3095,0.2201,0.1425,0.003
Linear Regression,637.1149,864633.4413,772.4987,-1.3182,0.2195,0.1429,0.239
Least Angle Regression,637.1149,864633.4413,772.4987,-1.3182,0.2195,0.1429,0.003
Gradient Boosting Regressor,756.2601,1572933.5734,904.5348,-2.2705,0.1622,0.1425,0.006
Decision Tree Regressor,941.9333,2000085.0667,1086.269,-2.3929,0.2125,0.1836,0.003
AdaBoost Regressor,816.2952,1834709.7875,1005.1974,-2.882,0.1792,0.1522,0.007
Light Gradient Boosting Machine,1880.7916,6272310.8079,2110.2456,-3.6461,0.4118,0.4129,0.006
Dummy Regressor,1880.7916,6272310.8079,2110.2456,-3.6461,0.4118,0.4129,0.003
Passive Aggressive Regressor,857.0913,1045392.5547,955.8209,-3.8171,0.2292,0.196,0.004
