Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Orthogonal Matching Pursuit,581.7564,645210.4559,634.8862,-13.2623,0.2121,0.2442,0.003
Bayesian Ridge,580.6051,641455.2784,633.4692,-13.3016,0.2191,0.2422,0.003
Elastic Net,584.0202,647382.9538,637.3863,-13.3047,0.2126,0.2447,0.003
Random Forest Regressor,705.1953,846848.7775,795.8589,-13.3097,0.2576,0.2658,0.017
Ridge Regression,591.3269,654191.3214,645.6192,-13.4415,0.2143,0.2466,0.003
Lasso Regression,593.9504,656762.2201,648.622,-13.4946,0.2151,0.2472,0.003
Lasso Least Angle Regression,593.9504,656762.2254,648.6221,-13.4946,0.2151,0.2472,0.003
Least Angle Regression,595.3484,657890.7785,650.3018,-13.5171,0.2153,0.2476,0.003
Linear Regression,595.3484,657890.7785,650.3018,-13.5171,0.2153,0.2476,0.245
Extra Trees Regressor,697.4127,789783.2895,765.9547,-13.6738,0.2461,0.2575,0.013
Huber Regressor,415.3678,567011.4753,497.5369,-13.8632,0.147,0.1683,0.004
AdaBoost Regressor,742.728,1026276.7994,853.7018,-14.3504,0.2851,0.2717,0.007
Decision Tree Regressor,735.6,982152.5333,829.359,-15.0716,0.2772,0.2589,0.003
Passive Aggressive Regressor,586.7879,677372.068,667.273,-15.0914,0.1852,0.2032,0.003
Gradient Boosting Regressor,757.5765,993432.4172,848.7504,-15.7256,0.282,0.2759,0.006
K Neighbors Regressor,730.3067,1058696.2027,817.4249,-21.5779,0.2593,0.3042,0.006
Light Gradient Boosting Machine,1681.8746,4124751.4523,1881.4202,-42.0401,0.4972,0.6756,0.006
Dummy Regressor,1681.8746,4124751.4523,1881.4202,-42.0401,0.4972,0.6756,0.003
