Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Huber Regressor,433.3784,736185.304,539.8005,0.438,0.1329,0.1221,0.003
K Neighbors Regressor,774.0,1729106.6667,893.5782,0.3742,0.1856,0.1778,0.005
Passive Aggressive Regressor,603.3599,905506.7113,714.4791,-0.1573,0.1638,0.1562,0.003
Bayesian Ridge,580.6722,905386.9241,668.9456,-0.341,0.1585,0.1468,0.003
Least Angle Regression,589.1423,912769.5759,677.3224,-0.5279,0.1604,0.1483,0.002
Linear Regression,589.1423,912769.5759,677.3224,-0.5279,0.1604,0.1483,0.21
Ridge Regression,589.1423,912769.5623,677.3224,-0.5279,0.1604,0.1483,0.002
Lasso Regression,589.142,912769.3745,677.3221,-0.5279,0.1604,0.1483,0.003
Lasso Least Angle Regression,589.142,912769.3745,677.3221,-0.5279,0.1604,0.1483,0.003
Orthogonal Matching Pursuit,589.1423,912769.5759,677.3224,-0.5279,0.1604,0.1483,0.003
Elastic Net,589.142,912769.3198,677.322,-0.5279,0.1604,0.1483,0.003
Random Forest Regressor,781.426,1475756.2663,913.1397,-9.8649,0.2254,0.2027,0.017
Extra Trees Regressor,727.6111,1098524.2907,849.8347,-15.2865,0.2095,0.1923,0.013
Gradient Boosting Regressor,850.9618,1564623.0283,1025.7483,-28.0839,0.2695,0.2196,0.006
Decision Tree Regressor,853.6111,1572745.3704,1029.7712,-28.7451,0.2709,0.22,0.003
AdaBoost Regressor,895.845,1541606.5605,1025.5357,-52.9317,0.2699,0.2366,0.006
Light Gradient Boosting Machine,1668.643,5116258.9154,1890.0194,-117.191,0.4009,0.4289,0.004
Dummy Regressor,1668.643,5116258.9154,1890.0194,-117.191,0.4009,0.4289,0.003
