Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Orthogonal Matching Pursuit,581.7564,645210.4559,634.8862,-13.2623,0.2121,0.2442,0.003
Bayesian Ridge,580.6052,641455.3401,633.4692,-13.3016,0.2191,0.2422,0.003
Elastic Net,584.8536,648717.1357,638.4433,-13.3236,0.2122,0.2451,0.003
Ridge Regression,599.2735,668793.9441,656.4831,-13.6755,0.2117,0.2504,0.003
Huber Regressor,415.4272,567035.5543,497.5892,-13.8632,0.147,0.1683,0.003
Extra Trees Regressor,678.6307,768190.8484,754.1774,-13.9506,0.2454,0.2629,0.014
Gradient Boosting Regressor,764.3442,1046798.5357,871.9819,-14.2206,0.2948,0.2881,0.006
Lasso Least Angle Regression,628.3825,728104.9943,699.2537,-14.5238,0.2136,0.2631,0.003
Lasso Regression,628.3825,728105.3342,699.2537,-14.5238,0.2136,0.2631,0.004
Least Angle Regression,634.7379,738504.4847,706.3032,-14.7341,0.2151,0.2652,0.003
Linear Regression,634.7379,738504.4847,706.3032,-14.7341,0.2151,0.2652,0.245
AdaBoost Regressor,791.9455,1136899.2796,912.2472,-14.9672,0.2985,0.2953,0.007
Passive Aggressive Regressor,586.7881,677372.173,667.2732,-15.0914,0.1852,0.2032,0.003
Random Forest Regressor,703.6807,923585.994,810.8715,-15.545,0.2615,0.2746,0.018
Decision Tree Regressor,729.0,901023.2,826.7328,-16.8312,0.2751,0.2776,0.003
K Neighbors Regressor,730.3067,1058696.2027,817.4249,-21.5779,0.2593,0.3042,0.006
Light Gradient Boosting Machine,1681.8746,4124751.4523,1881.4202,-42.0401,0.4972,0.6756,0.005
Dummy Regressor,1681.8746,4124751.4523,1881.4202,-42.0401,0.4972,0.6756,0.003
