Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Linear Regression,1698.3689,4124872.443,1910.9866,-32.4232,0.5471,0.6686,0.216
Least Angle Regression,1698.3689,4124872.6948,1910.9866,-32.4232,0.5471,0.6686,0.003
Lasso Regression,1696.6253,4116572.6066,1909.1211,-32.5354,0.5458,0.6682,0.003
Lasso Least Angle Regression,1696.6254,4116572.6321,1909.1212,-32.5354,0.5458,0.6682,0.003
Orthogonal Matching Pursuit,1654.5496,3910248.837,1853.2648,-33.1796,0.5253,0.6554,0.003
Ridge Regression,1624.1636,3844000.3684,1822.7413,-33.3816,0.4979,0.6543,0.003
K Neighbors Regressor,1654.2533,4001942.944,1860.2231,-35.4999,0.5125,0.6187,0.006
Random Forest Regressor,1640.1767,4306138.1903,1936.9629,-35.6703,0.5145,0.6274,0.017
Extra Trees Regressor,1685.7987,4217254.85,1922.688,-38.4801,0.5176,0.6447,0.013
Elastic Net,1644.4235,3971636.1339,1839.9399,-38.6684,0.4891,0.6647,0.003
Passive Aggressive Regressor,1489.7001,3837943.031,1724.1761,-39.7073,0.4657,0.6633,0.002
Bayesian Ridge,1663.8016,4006598.148,1859.2939,-39.7876,0.4921,0.6662,0.003
Huber Regressor,1665.2115,4221879.8317,1873.1603,-40.2829,0.5147,0.7045,0.003
Light Gradient Boosting Machine,1681.8746,4124751.4523,1881.4202,-42.0401,0.4972,0.6756,0.005
Dummy Regressor,1681.8746,4124751.4523,1881.4202,-42.0401,0.4972,0.6756,0.003
AdaBoost Regressor,1845.4026,5444439.7976,2149.6227,-42.4023,0.608,0.6993,0.007
Gradient Boosting Regressor,2011.3382,5966924.7581,2254.3717,-48.7303,0.6057,0.7287,0.007
Decision Tree Regressor,2341.9333,8491568.8,2613.4328,-53.0554,0.7359,0.8493,0.003
