Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Light Gradient Boosting Machine,1492.604,3278495.6497,1693.4739,-0.9012,1.6223,2.2686,0.006
Dummy Regressor,1492.604,3278495.6497,1693.4739,-0.9012,1.6223,2.2686,0.003
Elastic Net,1448.1511,3066600.881,1649.3992,-1.0289,1.6032,2.137,0.003
K Neighbors Regressor,1219.6933,2489734.7267,1450.6666,-1.4378,1.4896,1.5155,0.006
Passive Aggressive Regressor,1418.2581,3068440.8159,1633.1973,-2.0187,1.5545,1.9435,0.003
Ridge Regression,1345.4776,3014845.8625,1592.3415,-2.2699,1.512,1.827,0.003
Random Forest Regressor,1440.6701,3580810.2448,1649.8673,-2.3876,1.6582,1.344,0.018
AdaBoost Regressor,1550.3075,4115116.0371,1829.881,-2.8028,2.3133,1.2755,0.008
Huber Regressor,1298.0749,3019480.4848,1571.1706,-2.8367,1.5205,1.5985,0.003
Bayesian Ridge,1358.1996,3289361.0813,1625.7863,-3.1695,1.4463,1.8041,0.003
Extra Trees Regressor,1567.1705,4114207.2686,1794.6516,-3.2803,1.7992,1.1452,0.014
Lasso Regression,1341.1628,3273703.8709,1612.155,-3.3371,1.4705,1.7008,0.004
Lasso Least Angle Regression,1341.1627,3273702.9674,1612.1548,-3.3371,1.4705,1.7008,0.005
Linear Regression,1341.389,3276070.5429,1612.3546,-3.3469,1.4723,1.6989,0.288
Least Angle Regression,1341.3889,3276070.038,1612.3545,-3.3469,1.4723,1.6989,0.003
Orthogonal Matching Pursuit,1341.389,3276070.5895,1612.3546,-3.3469,1.4723,1.6989,0.003
Gradient Boosting Regressor,1621.6645,4559376.4694,1883.3378,-3.5623,2.0058,1.2403,0.006
Decision Tree Regressor,1644.1,4709360.425,1912.6871,-3.7146,2.6857,1.2704,0.003
