Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Elastic Net,584.4967,707798.7997,694.8279,-0.6583,0.2515,0.2715,0.003
Orthogonal Matching Pursuit,584.8375,709019.4039,695.608,-0.6585,0.2514,0.2716,0.003
Bayesian Ridge,582.5898,710307.8566,694.9627,-0.6594,0.2544,0.2712,0.003
Ridge Regression,582.9533,699868.1009,689.7259,-0.6601,0.2529,0.271,0.003
Huber Regressor,520.5825,742014.2923,649.2966,-0.7023,0.1926,0.2349,0.003
Lasso Regression,588.4213,697296.3183,688.963,-0.7153,0.2641,0.2719,0.004
Lasso Least Angle Regression,588.4213,697296.313,688.963,-0.7153,0.2641,0.2719,0.003
Least Angle Regression,588.9429,697572.5033,689.4289,-0.7207,0.265,0.272,0.003
Linear Regression,588.9429,697572.5033,689.4289,-0.7207,0.265,0.272,0.243
Passive Aggressive Regressor,597.3199,812218.6605,722.4692,-1.0122,0.2795,0.2982,0.003
K Neighbors Regressor,1179.6833,3871296.3767,1403.0917,-1.3309,0.3424,0.3938,0.005
Random Forest Regressor,905.9023,1631278.3503,1034.1696,-1.3839,0.3194,0.371,0.017
AdaBoost Regressor,1011.6759,1558129.6756,1086.0174,-1.504,0.3318,0.3711,0.008
Extra Trees Regressor,886.2175,1195394.8439,1001.8939,-1.5635,0.3119,0.3456,0.013
Gradient Boosting Regressor,927.6828,1350728.394,1006.0656,-1.913,0.3629,0.3998,0.006
Decision Tree Regressor,1097.2,1901197.1333,1196.1381,-2.3924,0.437,0.4158,0.002
Light Gradient Boosting Machine,3065.0867,17481013.5769,3380.6197,-14.0038,0.7354,1.3025,0.005
Dummy Regressor,3065.0867,17481013.5769,3380.6197,-14.0038,0.7354,1.3025,0.002
