Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Huber Regressor,385.0877,414311.6504,508.0678,0.5676,0.5591,0.2939,0.003
Bayesian Ridge,435.7258,437742.1932,547.447,0.5052,0.6699,0.3653,0.003
Elastic Net,432.0048,437761.5907,542.3016,0.5036,0.6491,0.3434,0.003
Lasso Least Angle Regression,432.0048,437761.5973,542.3016,0.5036,0.6491,0.3434,0.002
Least Angle Regression,432.0046,437761.696,542.3014,0.5036,0.6491,0.3434,0.003
Orthogonal Matching Pursuit,432.0046,437761.696,542.3014,0.5036,0.6491,0.3434,0.003
Ridge Regression,432.0046,437761.6913,542.3014,0.5036,0.6491,0.3434,0.003
Lasso Regression,432.0048,437761.5973,542.3016,0.5036,0.6491,0.3434,0.003
Linear Regression,432.0046,437761.696,542.3014,0.5036,0.6491,0.3434,0.209
Extra Trees Regressor,497.9518,573582.4811,612.1917,0.4761,0.6523,0.3337,0.014
AdaBoost Regressor,574.736,690797.3542,690.6149,0.4193,0.7661,0.5206,0.007
Gradient Boosting Regressor,549.9759,670023.0078,670.2218,0.4142,0.821,0.4605,0.006
Decision Tree Regressor,551.6667,673280.7667,673.3727,0.4051,0.9379,0.4639,0.003
Random Forest Regressor,563.0649,650472.5512,677.6902,0.3367,0.7608,0.4495,0.017
K Neighbors Regressor,590.56,646733.368,725.759,0.1335,0.8811,0.6444,0.005
Passive Aggressive Regressor,669.2484,989389.8512,791.4918,-1.0167,0.4588,0.4252,0.003
Light Gradient Boosting Machine,1039.7061,1402347.6619,1124.1863,-1.3274,1.2425,2.2699,0.005
Dummy Regressor,1039.7061,1402347.6619,1124.1863,-1.3274,1.2425,2.2699,0.003
