Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Huber Regressor,994.7059,2207788.6652,1305.8534,0.2777,0.0866,0.0675,0.003
Passive Aggressive Regressor,1053.8139,2459084.8332,1356.3989,0.2511,0.0898,0.0714,0.003
Orthogonal Matching Pursuit,1164.2409,2579407.4438,1494.1955,0.173,0.1068,0.0871,0.003
Elastic Net,1162.4466,2586915.3952,1496.7335,0.1685,0.1071,0.0872,0.003
Bayesian Ridge,1174.5046,2591288.8151,1504.172,0.1683,0.1081,0.0885,0.003
Ridge Regression,1181.5884,2619265.2792,1506.3387,0.1487,0.108,0.0889,0.003
Lasso Regression,1195.7336,2643963.1998,1513.0364,0.1345,0.1086,0.09,0.004
Lasso Least Angle Regression,1195.7338,2643963.253,1513.0365,0.1345,0.1086,0.09,0.003
Linear Regression,1196.0771,2644094.9538,1512.8887,0.1338,0.1086,0.09,0.303
Least Angle Regression,1196.0771,2644094.9538,1512.8887,0.1338,0.1086,0.09,0.004
K Neighbors Regressor,1311.4267,2987792.7987,1522.4636,0.0235,0.1195,0.1108,0.006
Extra Trees Regressor,1216.561,2831995.6206,1514.9055,-0.0443,0.1172,0.0995,0.015
Random Forest Regressor,1355.5138,2904596.0455,1571.2407,-0.0639,0.122,0.11,0.018
AdaBoost Regressor,1374.607,3024419.4538,1616.972,-0.202,0.1239,0.109,0.007
Gradient Boosting Regressor,1559.3228,3662389.7723,1825.3028,-0.8617,0.1394,0.1225,0.006
Decision Tree Regressor,1845.7,5618131.3,2193.2626,-1.8648,0.173,0.1447,0.003
Light Gradient Boosting Machine,2705.5901,10746270.8277,3033.6186,-2.6423,0.2325,0.2299,0.006
Dummy Regressor,2705.5901,10746270.8277,3033.6186,-2.6423,0.2325,0.2299,0.003
