Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Passive Aggressive Regressor,1718.6055,6849659.3737,2076.6259,-1.6095,0.392,0.3129,0.003
Huber Regressor,1833.7368,6518409.8218,2084.3027,-2.143,0.4008,0.3779,0.003
Extra Trees Regressor,2202.0359,9363057.6837,2541.2258,-2.974,0.4882,0.4585,0.013
Linear Regression,1923.2479,6626324.741,2155.0488,-3.3107,0.4194,0.4276,0.242
Least Angle Regression,1923.248,6626324.8623,2155.0489,-3.3107,0.4194,0.4276,0.003
Orthogonal Matching Pursuit,1923.248,6626324.9471,2155.0489,-3.3107,0.4194,0.4276,0.002
Lasso Regression,1923.6264,6620166.5515,2154.7612,-3.3182,0.4193,0.4278,0.003
Lasso Least Angle Regression,1923.6265,6620166.5077,2154.7612,-3.3182,0.4193,0.4278,0.003
Ridge Regression,1891.6676,6349659.9529,2118.6292,-3.5359,0.4133,0.4168,0.003
Elastic Net,1882.0885,6280822.3977,2111.153,-3.6329,0.412,0.4134,0.003
Bayesian Ridge,1880.7916,6272310.6524,2110.2455,-3.6461,0.4118,0.4129,0.003
Light Gradient Boosting Machine,1880.7916,6272310.8079,2110.2456,-3.6461,0.4118,0.4129,0.005
Dummy Regressor,1880.7916,6272310.8079,2110.2456,-3.6461,0.4118,0.4129,0.003
Gradient Boosting Regressor,2273.6676,11077249.723,2721.5681,-4.1051,0.5017,0.4694,0.008
Decision Tree Regressor,2281.0667,11310895.7333,2749.0007,-4.3044,0.5086,0.4696,0.003
AdaBoost Regressor,2277.5989,10629016.0995,2717.9559,-5.6487,0.4818,0.4885,0.007
K Neighbors Regressor,2230.9333,8404564.3093,2539.4958,-11.9896,0.4901,0.4806,0.005
Random Forest Regressor,2260.2014,9736967.7598,2743.2932,-12.4333,0.508,0.475,0.017
