Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Passive Aggressive Regressor,3174.7187,18130045.5986,3506.2809,-11.2395,0.7622,1.1697,0.003
Huber Regressor,3210.8239,17990905.2855,3597.2694,-11.7564,0.8072,1.1451,0.004
AdaBoost Regressor,3077.1993,17583358.7019,3541.906,-13.1489,0.7396,1.0341,0.006
Elastic Net,3096.9081,17399616.5751,3404.1145,-13.9842,0.738,1.2977,0.003
Bayesian Ridge,3065.0867,17481012.8228,3380.6197,-14.0038,0.7354,1.3025,0.003
Dummy Regressor,3065.0867,17481013.5769,3380.6197,-14.0038,0.7354,1.3025,0.003
Light Gradient Boosting Machine,3065.0867,17481013.5769,3380.6197,-14.0038,0.7354,1.3025,0.005
Ridge Regression,3230.6302,17822387.5207,3544.1347,-14.9623,0.7759,1.2917,0.003
Lasso Regression,3332.3003,18419834.9658,3651.2988,-15.6096,0.7806,1.2552,0.003
Lasso Least Angle Regression,3332.3015,18419845.4807,3651.3006,-15.6096,0.7806,1.2552,0.003
Linear Regression,3332.1882,18424336.6026,3652.4957,-15.6178,0.7794,1.2543,0.221
Least Angle Regression,3332.1881,18424337.0153,3652.4958,-15.6178,0.7794,1.2543,0.003
Extra Trees Regressor,3271.2632,20083254.0376,3797.6758,-17.082,0.7269,0.9577,0.013
Orthogonal Matching Pursuit,3373.0007,19117353.5842,3730.258,-17.4828,0.9243,1.3196,0.003
K Neighbors Regressor,3538.1167,20043065.9287,3863.4416,-19.3675,0.8044,1.2653,0.005
Random Forest Regressor,3527.6015,21949690.182,4158.8594,-23.0122,0.7783,1.1312,0.017
Gradient Boosting Regressor,3903.0607,27568080.6943,4558.1526,-29.3774,0.8203,1.1483,0.007
Decision Tree Regressor,4873.8333,41338011.5667,5687.6031,-40.4219,0.9529,1.2289,0.003
