Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Orthogonal Matching Pursuit,350.0546,197492.7075,396.9248,0.7144,0.0632,0.0551,0.003
Elastic Net,350.8261,198622.85,397.7869,0.714,0.0633,0.0553,0.003
Bayesian Ridge,353.253,198121.2618,399.3842,0.713,0.0636,0.0557,0.002
Ridge Regression,357.3787,208306.7333,405.1018,0.7101,0.0646,0.0563,0.003
Huber Regressor,347.2894,226251.3313,415.1468,0.7003,0.0717,0.0579,0.003
Lasso Regression,376.003,239532.4153,426.4365,0.6981,0.0684,0.0594,0.003
Lasso Least Angle Regression,376.003,239532.3685,426.4365,0.6981,0.0684,0.0594,0.003
Least Angle Regression,380.1779,245242.4087,431.053,0.6946,0.0692,0.0601,0.004
Linear Regression,380.1779,245242.4087,431.053,0.6946,0.0692,0.0601,0.24
Extra Trees Regressor,460.3778,360082.5129,536.5982,0.5772,0.0797,0.0696,0.014
Random Forest Regressor,476.3125,376379.0839,554.3285,0.5531,0.0817,0.0714,0.017
K Neighbors Regressor,510.8267,354010.0053,563.1217,0.5501,0.089,0.0814,0.006
AdaBoost Regressor,545.011,513471.3173,634.4946,0.3747,0.0949,0.0816,0.007
Gradient Boosting Regressor,627.9218,634640.9567,719.0633,0.1739,0.1045,0.0922,0.006
Passive Aggressive Regressor,686.9098,601109.9533,745.5364,0.0324,0.1085,0.1057,0.003
Decision Tree Regressor,709.7833,831213.3167,835.6318,-0.0076,0.1179,0.102,0.002
Light Gradient Boosting Machine,1001.9461,1477853.664,1146.5352,-0.7379,0.1805,0.1631,0.006
Dummy Regressor,1001.9461,1477853.664,1146.5352,-0.7379,0.1805,0.1631,0.003
