Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Extra Trees Regressor,1372.2107,3928310.5306,1541.1444,-0.7404,0.2932,0.2776,0.014
AdaBoost Regressor,1564.2408,4874573.8403,1776.2714,-0.9639,0.3339,0.3034,0.008
Passive Aggressive Regressor,1705.7576,6486443.4028,2019.4982,-1.4369,0.3811,0.3213,0.003
Gradient Boosting Regressor,1582.0445,4365655.3391,1788.8526,-1.4373,0.3643,0.3298,0.006
Random Forest Regressor,1458.5955,4399621.559,1776.9209,-1.4548,0.3506,0.3125,0.018
Decision Tree Regressor,1590.4667,4398449.3333,1804.9943,-1.4732,0.3703,0.331,0.003
Huber Regressor,1812.8647,5911577.786,2030.0041,-2.1335,0.4081,0.3876,0.003
Least Angle Regression,1803.8354,5722895.3989,2032.9317,-2.5085,0.4141,0.4057,0.003
Linear Regression,1803.8354,5722895.2211,2032.9316,-2.5085,0.4141,0.4057,0.217
Orthogonal Matching Pursuit,1803.8354,5722895.3989,2032.9317,-2.5085,0.4141,0.4057,0.003
Lasso Regression,1803.7631,5723302.6541,2032.7461,-2.5097,0.4138,0.4056,0.003
Lasso Least Angle Regression,1803.7631,5723302.67,2032.7461,-2.5097,0.4138,0.4056,0.002
Ridge Regression,1775.0055,5704446.5502,2002.8257,-2.546,0.3932,0.3956,0.003
Elastic Net,1829.5742,6045617.8031,2056.0744,-3.2386,0.4009,0.4027,0.003
Bayesian Ridge,1893.3774,6129718.3143,2097.5644,-3.6399,0.4114,0.4211,0.003
Light Gradient Boosting Machine,1880.7916,6272310.8079,2110.2456,-3.6461,0.4118,0.4129,0.006
Dummy Regressor,1880.7916,6272310.8079,2110.2456,-3.6461,0.4118,0.4129,0.003
K Neighbors Regressor,1944.9867,6644330.9013,2200.0351,-4.0315,0.4271,0.4011,0.007
