Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Linear Regression,350.0546,197492.7075,396.9248,0.7144,0.0632,0.0551,0.21
Lasso Regression,350.0549,197492.7062,396.925,0.7144,0.0632,0.0551,0.003
Ridge Regression,350.0546,197492.7067,396.9248,0.7144,0.0632,0.0551,0.002
Elastic Net,350.0549,197492.6981,396.925,0.7144,0.0632,0.0551,0.003
Least Angle Regression,350.0546,197492.7075,396.9248,0.7144,0.0632,0.0551,0.003
Lasso Least Angle Regression,350.0549,197492.7062,396.925,0.7144,0.0632,0.0551,0.003
Orthogonal Matching Pursuit,350.0546,197492.7075,396.9248,0.7144,0.0632,0.0551,0.002
Bayesian Ridge,353.2529,198121.1803,399.3841,0.713,0.0636,0.0557,0.003
Huber Regressor,357.0257,230265.0584,414.0739,0.7085,0.0703,0.0584,0.003
Extra Trees Regressor,378.8547,234433.8765,441.2729,0.6163,0.0663,0.0578,0.013
Random Forest Regressor,416.1375,276256.9516,489.6066,0.5956,0.0723,0.0624,0.016
K Neighbors Regressor,524.48,378738.9227,583.3986,0.5313,0.0914,0.0834,0.006
AdaBoost Regressor,453.8888,311195.0817,526.1567,0.4488,0.0805,0.0703,0.005
Gradient Boosting Regressor,497.6333,371577.8805,568.1112,0.3448,0.0836,0.0744,0.006
Decision Tree Regressor,501.25,375732.7833,571.6024,0.3338,0.0841,0.075,0.003
Passive Aggressive Regressor,686.9098,601110.0887,745.5364,0.0324,0.1085,0.1057,0.002
Light Gradient Boosting Machine,1001.9461,1477853.664,1146.5352,-0.7379,0.1805,0.1631,0.005
Dummy Regressor,1001.9461,1477853.664,1146.5352,-0.7379,0.1805,0.1631,0.003
