Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Linear Regression,584.8375,709019.4039,695.608,-0.6585,0.2514,0.2716,0.214
Lasso Regression,584.8374,709019.4996,695.608,-0.6585,0.2514,0.2716,0.003
Ridge Regression,584.8375,709019.4081,695.608,-0.6585,0.2514,0.2716,0.003
Elastic Net,584.8374,709019.4988,695.608,-0.6585,0.2514,0.2716,0.003
Least Angle Regression,584.8375,709019.4039,695.608,-0.6585,0.2514,0.2716,0.003
Lasso Least Angle Regression,584.8374,709019.4996,695.608,-0.6585,0.2514,0.2716,0.003
Orthogonal Matching Pursuit,584.8375,709019.4039,695.608,-0.6585,0.2514,0.2716,0.003
Bayesian Ridge,582.5898,710307.8914,694.9627,-0.6594,0.2544,0.2712,0.003
Huber Regressor,514.8943,733867.9781,645.5724,-0.6765,0.1911,0.2319,0.003
Passive Aggressive Regressor,597.3207,812219.3195,722.4695,-1.0122,0.2795,0.2982,0.003
Extra Trees Regressor,834.793,1125970.3322,955.7088,-1.3075,0.3258,0.332,0.014
K Neighbors Regressor,1179.6833,3871296.3767,1403.0917,-1.3309,0.3424,0.3938,0.005
Random Forest Regressor,821.5728,1557866.3961,963.6244,-1.3943,0.3078,0.3541,0.017
AdaBoost Regressor,974.8667,1513578.3851,1064.1251,-1.5116,0.3198,0.3454,0.007
Gradient Boosting Regressor,967.392,1644163.9575,1051.4609,-1.8181,0.3573,0.3772,0.006
Decision Tree Regressor,969.2667,1652591.1333,1054.9441,-1.8252,0.3592,0.3779,0.003
Light Gradient Boosting Machine,3065.0867,17481013.5769,3380.6197,-14.0038,0.7354,1.3025,0.004
Dummy Regressor,3065.0867,17481013.5769,3380.6197,-14.0038,0.7354,1.3025,0.003
