Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Passive Aggressive Regressor,1053.8139,2459084.8246,1356.3989,0.2511,0.0898,0.0714,0.003
Huber Regressor,1051.5912,2269021.5371,1376.2205,0.2404,0.0957,0.0752,0.003
Orthogonal Matching Pursuit,1164.2409,2579407.4438,1494.1955,0.173,0.1068,0.0871,0.003
Bayesian Ridge,1174.5046,2591288.8279,1504.172,0.1683,0.1081,0.0885,0.003
Elastic Net,1163.7231,2589970.0087,1497.7828,0.1675,0.1072,0.0873,0.003
Extra Trees Regressor,1257.7377,2940161.0217,1506.1574,0.1474,0.1174,0.1043,0.014
Ridge Regression,1192.6735,2645907.1113,1515.0358,0.1434,0.1087,0.0898,0.003
Lasso Least Angle Regression,1250.777,2792232.1222,1556.7057,0.115,0.1123,0.0944,0.003
Lasso Regression,1250.7768,2792232.0249,1556.7056,0.115,0.1123,0.0944,0.002
Least Angle Regression,1252.7036,2802136.3689,1559.2347,0.1125,0.1125,0.0946,0.003
Linear Regression,1252.7036,2802136.3689,1559.2347,0.1125,0.1125,0.0946,0.244
Random Forest Regressor,1323.0102,2847692.258,1544.1102,0.0589,0.1213,0.1095,0.017
K Neighbors Regressor,1311.4267,2987792.7987,1522.4636,0.0235,0.1195,0.1108,0.006
AdaBoost Regressor,1331.7854,2818219.8143,1561.2914,-0.0636,0.1195,0.1062,0.009
Gradient Boosting Regressor,1584.4991,3825835.5134,1860.2348,-0.6273,0.1452,0.1272,0.006
Decision Tree Regressor,1723.15,5364554.4833,2125.6148,-1.21,0.1708,0.1365,0.003
Light Gradient Boosting Machine,2705.5901,10746270.8277,3033.6186,-2.6423,0.2325,0.2299,0.004
Dummy Regressor,2705.5901,10746270.8277,3033.6186,-2.6423,0.2325,0.2299,0.003
