Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Bayesian Ridge,1738.4352,5432226.1743,1940.9471,-1.174,0.1407,0.1321,0.003
Light Gradient Boosting Machine,1738.4353,5432227.0096,1940.9472,-1.174,0.1407,0.1321,0.005
Dummy Regressor,1738.4353,5432227.0096,1940.9472,-1.174,0.1407,0.1321,0.003
Elastic Net,1729.3082,5314225.1854,1924.6433,-1.2521,0.1396,0.1314,0.003
Ridge Regression,1728.6013,5284416.9358,1937.0658,-2.1511,0.1415,0.1312,0.003
Random Forest Regressor,1850.8084,5234626.4072,2037.6741,-2.345,0.1445,0.1337,0.017
Huber Regressor,1752.419,5354466.6056,1970.8418,-2.5758,0.1443,0.1329,0.002
Extra Trees Regressor,1874.428,5404665.8994,2068.4458,-2.6659,0.1484,0.1382,0.013
K Neighbors Regressor,1864.6133,5419068.992,2078.0913,-2.7152,0.1478,0.1346,0.006
Lasso Regression,1740.8831,5480923.2983,1974.7082,-3.1515,0.1457,0.132,0.003
Lasso Least Angle Regression,1740.8831,5480923.1949,1974.7082,-3.1515,0.1457,0.132,0.003
Linear Regression,1740.7964,5482508.7167,1974.8993,-3.1643,0.1457,0.132,0.21
Least Angle Regression,1740.7966,5482509.6023,1974.8995,-3.1643,0.1457,0.132,0.003
Orthogonal Matching Pursuit,1740.7965,5482509.4382,1974.8994,-3.1643,0.1457,0.132,0.003
AdaBoost Regressor,2041.17,6036554.0537,2243.9652,-3.2375,0.1616,0.1506,0.004
Gradient Boosting Regressor,1865.3118,5683825.1201,2055.9787,-3.5445,0.1451,0.134,0.006
Decision Tree Regressor,1881.5333,5782192.8,2078.7103,-3.6877,0.1467,0.1349,0.003
Passive Aggressive Regressor,2402.5419,9044934.3141,2601.3909,-4.534,0.189,0.1758,0.003
