Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
K Neighbors Regressor,1657.3333,4522973.3333,1878.9679,-51.9855,0.3915,0.4057,0.006
Random Forest Regressor,1389.5142,3338089.9999,1543.2663,-72.3929,0.3499,0.3611,0.017
Extra Trees Regressor,1330.5306,3342746.8079,1469.5555,-76.7635,0.3569,0.3702,0.013
Huber Regressor,1582.2294,4592649.2165,1857.9727,-83.0796,0.394,0.3793,0.003
Passive Aggressive Regressor,1555.6887,4500264.7988,1808.8354,-84.1861,0.3821,0.3799,0.003
Bayesian Ridge,1668.643,5116258.6068,1890.0194,-117.191,0.4009,0.4289,0.003
Dummy Regressor,1668.643,5116258.9154,1890.0194,-117.191,0.4009,0.4289,0.003
Light Gradient Boosting Machine,1668.643,5116258.9154,1890.0194,-117.191,0.4009,0.4289,0.006
Elastic Net,1664.4635,5060543.0499,1884.7578,-117.5511,0.3999,0.4276,0.003
Gradient Boosting Regressor,1343.3458,3437139.9166,1503.6814,-118.986,0.3684,0.3689,0.006
Ridge Regression,1632.0634,4683142.3707,1854.4202,-120.9531,0.3945,0.418,0.003
Decision Tree Regressor,1356.6667,3484416.6667,1520.5163,-125.0847,0.3744,0.3706,0.004
AdaBoost Regressor,1296.3161,3411243.4121,1443.8357,-127.1854,0.3685,0.3684,0.007
Lasso Least Angle Regression,1640.1395,4259872.6028,1875.5214,-137.9423,0.4121,0.4094,0.003
Lasso Regression,1640.1395,4259872.7232,1875.5214,-137.9424,0.4121,0.4094,0.003
Linear Regression,1640.306,4256110.0742,1875.0678,-138.1673,0.4123,0.4093,0.243
Least Angle Regression,1640.3061,4256110.3376,1875.0678,-138.1673,0.4123,0.4093,0.003
Orthogonal Matching Pursuit,1640.3061,4256110.2271,1875.0678,-138.1673,0.4123,0.4093,0.003
