Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Ridge Regression,348.6332,186733.2031,388.7977,0.728,0.0628,0.0556,0.002
Elastic Net,347.8082,192395.9339,392.0633,0.7219,0.0627,0.055,0.003
Lasso Regression,350.7674,189981.874,394.5574,0.7208,0.0641,0.0562,0.003
Lasso Least Angle Regression,350.7676,189981.9406,394.5576,0.7208,0.0641,0.0562,0.003
Linear Regression,350.6723,190177.4591,395.0016,0.7201,0.0642,0.0562,0.256
Least Angle Regression,350.6723,190177.4591,395.0016,0.7201,0.0642,0.0562,0.003
Orthogonal Matching Pursuit,350.0546,197492.7075,396.9248,0.7144,0.0632,0.0551,0.003
Bayesian Ridge,353.2525,198120.7872,399.3837,0.713,0.0636,0.0557,0.003
Huber Regressor,326.9463,214485.0778,388.8403,0.7115,0.0673,0.0538,0.003
Extra Trees Regressor,390.1798,227118.7767,435.117,0.6212,0.0663,0.0601,0.014
Random Forest Regressor,401.8128,247757.6389,462.6649,0.6019,0.0694,0.0608,0.017
K Neighbors Regressor,512.96,360831.2107,569.527,0.546,0.0898,0.0816,0.005
AdaBoost Regressor,429.5062,262346.9792,490.5628,0.5281,0.0732,0.0653,0.007
Gradient Boosting Regressor,464.4852,311506.2312,514.3666,0.5247,0.0771,0.0709,0.005
Decision Tree Regressor,496.0167,328265.8167,543.3065,0.2704,0.0813,0.076,0.002
Passive Aggressive Regressor,686.9098,601110.0376,745.5364,0.0324,0.1085,0.1057,0.003
Light Gradient Boosting Machine,1001.9461,1477853.664,1146.5352,-0.7379,0.1805,0.1631,0.006
Dummy Regressor,1001.9461,1477853.664,1146.5352,-0.7379,0.1805,0.1631,0.003
