Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Huber Regressor,137.9019,60683.3385,195.8043,0.9573,0.0568,0.0452,0.004
Bayesian Ridge,165.0446,66639.1502,206.6868,0.957,0.2498,0.0692,0.003
Elastic Net,164.7633,66662.023,206.4589,0.9569,0.2266,0.0671,0.003
Orthogonal Matching Pursuit,164.6813,66606.0913,206.3541,0.9569,0.2303,0.0672,0.003
Ridge Regression,165.322,67095.8421,207.2587,0.9565,0.2181,0.0657,0.004
Linear Regression,168.876,68635.5381,210.8412,0.9549,0.3362,0.0717,0.249
Least Angle Regression,168.876,68635.5381,210.8412,0.9549,0.3362,0.0717,0.003
Lasso Least Angle Regression,168.5513,68518.135,210.936,0.9546,0.2408,0.068,0.003
Lasso Regression,168.5513,68518.1351,210.936,0.9546,0.2408,0.068,0.003
Passive Aggressive Regressor,184.4101,88953.8892,245.0445,0.9485,0.0757,0.0666,0.003
Extra Trees Regressor,237.3797,117328.6512,289.4863,0.9422,0.3337,0.0938,0.014
K Neighbors Regressor,343.69,211342.054,409.03,0.8717,0.9056,0.2961,0.006
Random Forest Regressor,297.6132,165146.3384,354.1674,0.8707,0.7833,0.1737,0.016
Gradient Boosting Regressor,324.9772,200304.3386,386.0283,0.8168,0.8137,0.1863,0.006
AdaBoost Regressor,331.1403,185647.9356,379.2795,0.8147,1.0549,0.2201,0.007
Decision Tree Regressor,347.9167,209778.6833,413.0778,0.7956,0.5757,0.2144,0.003
Light Gradient Boosting Machine,1492.604,3278495.6497,1693.4739,-0.9012,1.6223,2.2686,0.006
Dummy Regressor,1492.604,3278495.6497,1693.4739,-0.9012,1.6223,2.2686,0.003
